Champion,Games,Wins,Losses,WinRate,Kills,Deaths,Assists,KDA,CS,CS_per_min,VisionScore,VisionScore_per_min,Gold,Gold_per_min,Damage,Damage_per_min,KillParticipation,KillShare,GoldShare,Player,Role,Team
Rumble,22,12,10,54.5%,2.59,3.09,6.27,2.87,235.77,6.9,35.86,1.05,11.9,349,21.5k,628.5,59.5%,17.4%,19.1%,PerfecT (Lee Seung-min),TOP,KT Rolster
Renekton,16,12,4,75%,2.75,2.31,6.94,4.19,240.69,7.91,34.38,1.13,11.8,387,16.4k,538.2,53.6%,15.2%,20.3%,PerfecT (Lee Seung-min),TOP,KT Rolster
Sion,15,8,7,53.3%,1.2,2.27,5.87,3.12,225.07,7.39,33.73,1.11,10.4,343,14.2k,466.3,49.1%,8.3%,18.9%,PerfecT (Lee Seung-min),TOP,KT Rolster
Jayce,13,9,4,69.2%,3.46,2.62,7.23,4.09,271.85,8.06,37.92,1.12,13.7,408,24.6k,729.4,60.2%,19.5%,21.3%,PerfecT (Lee Seung-min),TOP,KT Rolster
Ambessa,12,3,9,25%,2.42,3.08,3.75,2,242.92,7.52,31.25,0.97,11.8,366,14.7k,453.9,51%,20%,21.1%,PerfecT (Lee Seung-min),TOP,KT Rolster
Gwen,11,8,3,72.7%,4.09,3.45,6.82,3.16,238.45,7.08,40.45,1.2,13,387,18k,533.1,54.5%,20.5%,20.3%,PerfecT (Lee Seung-min),TOP,KT Rolster
Yorick,10,6,4,60%,1.7,2.9,5.1,2.34,268.4,8.06,35.5,1.07,12.7,381,16.7k,501.2,42.2%,10.6%,20.5%,PerfecT (Lee Seung-min),TOP,KT Rolster
Ksante,9,3,6,33.3%,1.33,2.33,4.56,2.52,242.67,7.95,31.78,1.04,10.7,351,11.5k,377.7,50%,11.3%,20.2%,PerfecT (Lee Seung-min),TOP,KT Rolster
Ornn,7,5,2,71.4%,1.29,1.86,6.14,4,230.0,7.43,32.14,1.04,10.9,353,13.3k,430.5,57.1%,9.9%,18.9%,PerfecT (Lee Seung-min),TOP,KT Rolster
Jax,3,2,1,66.7%,1.67,2.67,4.67,2.38,251.33,8.1,38.0,1.23,11.6,375,13.5k,435.7,41.3%,10.9%,20%,PerfecT (Lee Seung-min),TOP,KT Rolster
Gnar,2,1,1,50%,2.0,2.5,8.0,4,255.5,7.85,41.5,1.28,12.6,386,17.9k,548.9,69%,13.8%,21.4%,PerfecT (Lee Seung-min),TOP,KT Rolster
RekSai,2,1,1,50%,2.5,1.5,7.5,6.67,369.0,9.04,52.0,1.27,17.4,425,24.6k,601.6,51.3%,12.8%,21.9%,PerfecT (Lee Seung-min),TOP,KT Rolster
Aatrox,1,1,0,100%,6.0,1.0,10.0,16,287.0,8.61,33.0,0.99,14,420,27.1k,811.6,55.2%,20.7%,21%,PerfecT (Lee Seung-min),TOP,KT Rolster
Gragas,1,1,0,100%,2.0,0.0,6.0,8,270.0,9.04,28.0,0.94,12.8,428,14.3k,480,53.3%,13.3%,20.3%,PerfecT (Lee Seung-min),TOP,KT Rolster
Aurora,1,0,1,0%,8.0,2.0,10.0,9,248.0,6.82,47.0,1.29,14.7,404,29.6k,814.3,90%,40%,22.3%,PerfecT (Lee Seung-min),TOP,KT Rolster
Camille,1,0,1,0%,2.0,4.0,6.0,2,245.0,7.91,33.0,1.07,11.4,367,19.6k,631.6,72.7%,18.2%,21.2%,PerfecT (Lee Seung-min),TOP,KT Rolster
Galio,1,0,1,0%,0.0,3.0,9.0,3,245.0,6.37,50.0,1.3,11.9,310,13.5k,350.3,75%,0%,17.8%,PerfecT (Lee Seung-min),TOP,KT Rolster
Mordekaiser,1,0,1,0%,1.0,4.0,2.0,0.75,193.0,6.51,30.0,1.01,8.6,290,19.1k,642.5,37.5%,12.5%,19.7%,PerfecT (Lee Seung-min),TOP,KT Rolster
XinZhao,21,10,11,47.6%,3.0,3.14,7.1,3.21,210.9,6.4,57.1,1.73,11.7,354,15.3k,464.4,70.4%,20.9%,19.7%,Cuzz,JUNGLE,KT Rolster
Trundle,20,9,11,45%,2.7,2.75,7.8,3.82,206.15,6.31,66.2,2.03,11.7,360,11.8k,362.3,77.2%,19.9%,19.9%,Cuzz,JUNGLE,KT Rolster
Wukong,19,13,6,68.4%,4.42,2.05,9.26,6.67,226.11,6.9,58.74,1.79,12.8,390,15.2k,462.8,78.1%,25.2%,20.6%,Cuzz,JUNGLE,KT Rolster
JarvanIV,11,8,3,72.7%,4.0,2.73,11.82,5.8,211.82,6.44,60.27,1.83,12.8,390,13.9k,422.1,89.7%,22.7%,20.6%,Cuzz,JUNGLE,KT Rolster
Nidalee,9,6,3,66.7%,2.44,1.33,8.67,8.33,215.22,6.98,61.56,2,11.8,382,18.9k,614.4,82%,18%,20.4%,Cuzz,JUNGLE,KT Rolster
Pantheon,7,3,4,42.9%,3.57,3.71,5.86,2.54,200.86,6.41,43.43,1.39,11,352,13.7k,436.7,67.3%,25.5%,19.6%,Cuzz,JUNGLE,KT Rolster
Vi,7,2,5,28.6%,3.71,2.57,4.29,3.11,214.43,6.71,47.29,1.48,11.7,365,13.1k,409.2,72.7%,33.8%,20.9%,Cuzz,JUNGLE,KT Rolster
Viego,7,2,5,28.6%,3.57,3.57,4.86,2.36,214.86,7.03,57.71,1.89,11.6,380,12.6k,411.1,78.7%,33.3%,21.8%,Cuzz,JUNGLE,KT Rolster
Lillia,4,2,2,50%,2.75,1.25,7.25,8,253.25,7.47,52.25,1.54,12.7,375,18.9k,556.9,70.2%,19.3%,20.4%,Cuzz,JUNGLE,KT Rolster
Sejuani,4,1,3,25%,1.75,1.75,8.0,5.57,199.25,5.97,67.5,2.02,11,329,13.6k,408.1,73.6%,13.2%,18.8%,Cuzz,JUNGLE,KT Rolster
Skarner,4,0,4,0%,0.25,3.75,6.5,1.8,165.0,5.36,42.25,1.37,9,292,10k,323.1,77.1%,2.9%,17.7%,Cuzz,JUNGLE,KT Rolster
Nocturne,3,2,1,66.7%,4.0,2.67,9.33,5,214.0,6.74,45.0,1.42,12.4,390,14k,440.6,61.5%,18.5%,20.9%,Cuzz,JUNGLE,KT Rolster
Zyra,3,2,1,66.7%,3.33,3.0,6.67,3.33,232.0,7.29,56.0,1.76,12.2,383,19.9k,625.1,61.2%,20.4%,20.2%,Cuzz,JUNGLE,KT Rolster
DrMundo,2,2,0,100%,4.5,0.0,9.5,28,243.5,6.76,79.5,2.21,13.9,387,26.5k,735.3,71.8%,23.1%,20.2%,Cuzz,JUNGLE,KT Rolster
Poppy,2,1,1,50%,2.5,2.5,6.5,3.6,201.0,6.48,53.5,1.72,10.7,344,12.7k,409.3,69.2%,19.2%,19.1%,Cuzz,JUNGLE,KT Rolster
Naafiri,2,0,2,0%,2.0,3.0,2.0,1.33,196.0,6.47,48.5,1.6,10.1,332,13.3k,439.2,66.7%,33.3%,20.3%,Cuzz,JUNGLE,KT Rolster
Fiddlesticks,1,1,0,100%,7.0,1.0,16.0,23,218.0,6.75,91.0,2.82,12.6,389,17.7k,546.4,85.2%,25.9%,19.6%,Cuzz,JUNGLE,KT Rolster
Sylas,1,1,0,100%,3.0,3.0,10.0,4.33,252.0,7.64,51.0,1.55,13.5,408,19.7k,598.4,65%,15%,20.7%,Cuzz,JUNGLE,KT Rolster
Zed,1,1,0,100%,6.0,2.0,9.0,7.5,231.0,8.54,33.0,1.22,11.9,440,16.1k,596.1,71.4%,28.6%,22.2%,Cuzz,JUNGLE,KT Rolster
Maokai,1,0,1,0%,2.0,2.0,6.0,4,196.0,5.53,63.0,1.78,10.8,305,12.5k,351.8,88.9%,22.2%,18%,Cuzz,JUNGLE,KT Rolster
Qiyana,1,0,1,0%,6.0,6.0,3.0,1.5,273.0,6.98,105.0,2.68,14.9,380,18.3k,468.9,60%,40%,21.3%,Cuzz,JUNGLE,KT Rolster
Ryze,21,13,8,61.9%,3.52,2.14,6.62,4.73,327.0,9.82,38.81,1.17,14.8,445,20.5k,616.1,71.5%,24.8%,24%,Bdd,MID,KT Rolster
Taliyah,18,8,10,44.4%,3.61,2.56,7.56,4.37,289.56,8.87,34.22,1.05,13.5,413,21.2k,649.6,74.2%,24%,22.6%,Bdd,MID,KT Rolster
Ahri,14,6,8,42.9%,4.57,2.14,6.93,5.37,269.21,8.36,35.86,1.11,12.9,401,23.1k,718,75.9%,30.2%,22.4%,Bdd,MID,KT Rolster
Yone,10,7,3,70%,3.9,1.5,5.7,6.4,324.5,9.52,38.4,1.13,15.1,442,20.9k,613.9,61.9%,25.2%,23.4%,Bdd,MID,KT Rolster
Azir,10,5,5,50%,4.4,2.4,5.3,4.04,291.3,9.05,36.4,1.13,14,434,24.8k,771.6,69.8%,31.7%,23.8%,Bdd,MID,KT Rolster
Annie,10,4,6,40%,2.8,2.6,7.9,4.12,211.0,6.89,31.0,1.01,10.9,355,18k,586.1,67.3%,17.6%,19.7%,Bdd,MID,KT Rolster
Aurora,6,4,2,66.7%,5.5,2.33,8.83,6.14,248.67,8.04,37.0,1.2,13,420,23k,744.7,68.8%,26.4%,21.9%,Bdd,MID,KT Rolster
Cassiopeia,6,3,3,50%,3.5,2.33,7.67,4.79,261.17,8.13,36.17,1.13,12.4,387,19.8k,617.7,81.7%,25.6%,21.9%,Bdd,MID,KT Rolster
Orianna,5,3,2,60%,3.4,1.2,8.8,10.17,273.6,8.77,36.0,1.15,13,418,20.2k,648.6,91%,25.4%,22.5%,Bdd,MID,KT Rolster
Viktor,5,1,4,20%,2.8,3.2,5.2,2.5,268.4,9.04,27.8,0.94,11.6,392,23.9k,805.9,72.7%,25.5%,22.7%,Bdd,MID,KT Rolster
